idx	name	new_name	smiles	inchikey
88	NA	NA	CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO.CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6	OTHBMMSAGZUJQB-UHFFFAOYSA-N
89	Nsc 23766	Nsc 23766	CCN(CC)CCCC(C)NC1=NC(=CC(=N1)NC2=CC3=C(C=C2)N=C(C=C3N)C)C	DEFBCZWQLILOJF-UHFFFAOYSA-N
90	CHEMBL2203525	CHEMBL2203525	CC1=C2C(=CN=C1)C=CC=C2S(=O)(=O)N[C@@H]3C[C@H](NC3)CNC(=O)C	KAAADIFKRHNJHA-LSDHHAIUSA-N
91	SR1001	SR1001	CC1=C(SC(=N1)NC(=O)C)S(=O)(=O)NC2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O	OZBSSKGBKHOLGA-UHFFFAOYSA-N
92	N-[[(4R,5R)-2-[(2R)-1-hydroxypropan-2-yl]-4-methyl-8-(4-methylpent-1-ynyl)-1,1-dioxo-4,5-dihydro-3H-6,1$l^{6},2-benzoxathiazocin-5-yl]methyl]-N-methyl-2-pyrazinecarboxamide	N-[[(4R,5R)-2-[(2R)-1-hydroxypropan-2-yl]-4-methyl-8-(4-methylpent-1-ynyl)-1,1-dioxo-4,5-dihydro-3H-6,1$l^{6},2-benzoxathiazocin-5-yl]methyl]-N-methyl-2-pyrazinecarboxamide	C[C@@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CCC(C)C)O[C@H]1CN(C)C(=O)C3=NC=CN=C3)[C@H](C)CO	ALBVOUUIQWHTKA-REHUZNOOSA-N
93	importazole	importazole	CC(C1=CC=CC=C1)NC2=NC(=NC3=CC=CC=C32)N4CCCC4	HKGJEZIGDHFJFL-UHFFFAOYSA-N
94	ML-210	ML-210	CC1=C(C(=NO1)C(=O)N2CCN(CC2)C(C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)Cl)[N+](=O)[O-]	VIBHJPDPEVVDTB-UHFFFAOYSA-N
95	Lomeguatrib	Lomeguatrib	C1=C(SC=C1Br)COC2=NC(=NC3=C2NC=N3)N	JUJPKFNFCWJBCX-UHFFFAOYSA-N
96	445430-58-0	BMS-345541	CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN	PSPFQEBFYXJZEV-UHFFFAOYSA-N
97	vinblastine	vinblastine	CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O	JXLYSJRDGCGARV-CFWMRBGOSA-N
98	1234479-76-5	XMD8-85	CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(C5=CC=CC=C5C(=O)N4C)C)OC	DDTPGANIPBKTNU-UHFFFAOYSA-N
99	temozolomide	temozolomide	CN1C(=O)N2C=NC(=C2N=N1)C(=O)N	BPEGJWRSRHCHSN-UHFFFAOYSA-N
100	AM580	AM580	CC1(CCC(C2=C1C=CC(=C2)C(=O)NC3=CC=C(C=C3)C(=O)O)(C)C)C	SZWKGOZKRMMLAJ-UHFFFAOYSA-N
101	Cdk4/6 Inhibitor IV	Cdk4/6 Inhibitor IV	CCNC1=NC(=NC(=C1)NC2CCC(CC2)O)NC3=CC4=C(C=C3)N(C=C4)CC5=CC=CC=C5	YVXCDLCJCIDFHE-UHFFFAOYSA-N
102	Tosedostat	Tosedostat	CC(C)C[C@H]([C@@H](C(=O)NO)O)C(=O)N[C@@H](C1=CC=CC=C1)C(=O)OC2CCCC2	FWFGIHPGRQZWIW-SQNIBIBYSA-N
103	Pluripotin	Pluripotin	CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)C(F)(F)F)N3CC4=CN=C(N=C4N(C3=O)C)NC5=CC(=NN5C)C	NBZFRTJWEIHFPF-UHFFFAOYSA-N
104	CHEMBL3185999	CHEMBL3185999	CCOC(=O)C1=C(C2=C(N1C)C(=C(C=C2)Cl)Cl)C(=CN)C#N	CXJCGSPAPOTTSF-UHFFFAOYSA-N
105	chlorambucil	chlorambucil	C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl	JCKYGMPEJWAADB-UHFFFAOYSA-N
106	WH-4-023	WH-4-023	CC1=C(C(=CC=C1)C)OC(=O)N(C2=C(C=C(C=C2)OC)OC)C3=NC(=NC=C3)NC4=CC=C(C=C4)N5CCN(CC5)C	NBTNHSGBRGTFJS-UHFFFAOYSA-N
107	DMOG	DMOG	COC(=O)CNC(=O)C(=O)OC	BNJOZDZCRHCODO-UHFFFAOYSA-N
108	SNX-2112	SNX-2112	CC1(CC2=C(C(=O)C1)C(=NN2C3=CC(=C(C=C3)C(=O)N)NC4CCC(CC4)O)C(F)(F)F)C	ZFVRYNYOPQZKDG-UHFFFAOYSA-N
109	331771-20-1	ZM447439	COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5	OGNYUTNQZVRGMN-UHFFFAOYSA-N
110	PDK1 inhibitor	PDK1 inhibitor	C1=CC=C(C=C1)[C@H](COC2=CC3=C(C=C2)NC(=O)N3)NC(=O)C4=CC=CN(C4=O)CC5=CC(=C(C=C5)F)F	GCWCGSPBENFEPE-VWLOTQADSA-N
111	Idelalisib	idelalisib	CC[C@@H](C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5	IFSDAJWBUCMOAH-HNNXBMFYSA-N
112	teniposide	Teniposide	COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O[C@H]6[C@@H]([C@H](C7[C@H](O6)CO[C@H](O7)C8=CC=CS8)O)O	NRUKOCRGYNPUPR-OQMCATNJSA-N
113	Wee1 Inhibitor	Wee1_Inhibitor	C1=CC=C(C(=C1)C2=CC3=C(C4=C(N3)C=CC(=C4)O)C5=C2C(=O)NC5=O)Cl	DPEXRCOBPACFOO-UHFFFAOYSA-N
114	CHEMBL2356172	CHEMBL2356172	C[C@@H]1CN(C(=O)C2=C(C=CC(=C2)NC(=O)NC(C)C)O[C@H]1CN(C)S(=O)(=O)C3=CC=C(C=C3)Cl)[C@H](C)CO	NMFHWISFZINRTB-GGUMNFRJSA-N
115	5-(benzyloxy)-1H-indole-2-carboxylic acid	5-(benzyloxy)-1H-indole-2-carboxylic acid	C1=CC=C(C=C1)COC2=CC3=C(C=C2)NC(=C3)C(=O)O	MVCLSAMNMAWXFQ-UHFFFAOYSA-N
116	315183-21-2	315183-21-2	C=CCC1=CC=C/C(=C/NNC(=O)CN2CCN(CC2)CC3=CC=CC=C3)/C1=O	XSGXRYNZNGUGEJ-PGMHBOJBSA-N
117	Cot inhibitor-2	Cot inhibitor-2	CCN1CCC(CC1)N2C=C(N=N2)CNC3=CC(=C4C(=C3)C(=C(C=N4)C#N)NC5=CC(=C(C=C5)F)Cl)Cl	PHNZIIMWDVXPGG-UHFFFAOYSA-N
118	BRD-A28105619-001-01-3	BRD-A28105619-001-01-3	C[C@@]12C[C@H](C([C@]1(CC(=O)[C@@]3(C2CC=C4C3CC(=O)C(=O)C4(C)C)C)C)[C@](C)(C(=O)/C=C/C(C)(C)O)O)O	NZZOMHODWAPPJH-YOLQPZLMSA-N
119	Olaparib	olaparib	C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F	FDLYAMZZIXQODN-UHFFFAOYSA-N
120	MIRA-1	MIRA-1	CCC(=O)OCN1C(=O)C=CC1=O	YXEWPGYLMHXLPS-UHFFFAOYSA-N
121	TCMDC-123515	TCMDC-123515	C1=CC(=CC=C1C2=C(C=NN2)C=C3C(=O)N(C(=N)S3)C4=NC=CS4)F	SMJGLNVGTJLIRV-UHFFFAOYSA-N
122	Venetoclax	venetoclax	CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C	LQBVNQSMGBZMKD-UHFFFAOYSA-N
123	pifithrin	pifithrin	CC1=CC=C(C=C1)C(=O)CN2C3=C(CCCC3)SC2=N	OLTZHXYLLRJLST-UHFFFAOYSA-N
124	114977-28-5 (anhydrous)	114977-28-5 (anhydrous)	CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@](C3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O	ZDZOTLJHXYCWBA-JXHJHTFNSA-N
125	cerulenin	cerulenin	C/C=C/C/C=C/CCC(=O)[C@@H]1[C@@H](O1)C(=O)N	GVEZIHKRYBHEFX-NQQPLRFYSA-N
126	NA	NA	CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C.CC(C)N1CCC(CC1)NC2=NC(=NC3=CC(=C(C=C32)OC)OCCCN4CCCC4)C5CCCCC5	ZHQWOPJRFUQZQR-NNKFRZKZSA-N
127	4-(6-bromo-1,3-benzodioxol-5-yl)-3a,4,5,9b-tetrahydro-3H-cyclopenta[c]quinoline	4-(6-bromo-1,3-benzodioxol-5-yl)-3a,4,5,9b-tetrahydro-3H-cyclopenta[c]quinoline	C1C=CC2C1C(NC3=CC=CC=C23)C4=CC5=C(C=C4Br)OCO5	YOLTZIVRJAPVPH-UHFFFAOYSA-N
128	Leptomycin B	Leptomycin B	CC/C(=C/[C@H](C)C/C=C/C(=C/[C@@H](C)C(=O)[C@@H](C)[C@@H]([C@@H](C)C/C(=C/C(=O)O)/C)O)/C)/C=C/[C@H]1[C@H](C=CC(=O)O1)C	YACHGFWEQXFSBS-XYERBDPFSA-N
129	PF-4800567	PF-4800567	C1COCCC1N2C3=C(C(=N2)COC4=CC(=CC=C4)Cl)C(=NC=N3)N	AUMDBEHGJRZSOO-UHFFFAOYSA-N
130	SCHEMBL15422028	SCHEMBL15422028	COC1=CC=C(C=C1)C#CC2=CCCN(C2=O)C(=O)/C=C/C3=CC(=C(C(=C3)OC)OC)OC	WIOMGKDOBSQCGH-GXDHUFHOSA-N
131	Pazopanib	pazopanib	CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N	CUIHSIWYWATEQL-UHFFFAOYSA-N
132	CHEMBL585951	JNK-9L	C1COCCN1C2=CC(=CC(=C2)C3=NC(=NC=C3)NC4=CC=C(C=C4)N5C=NC(=N5)N6CCOCC6)F	AHMHIFXJPSHHPH-UHFFFAOYSA-N
133	SCHEMBL16479156	SCHEMBL16479156	CC1=C2[C@H](C3=C(CC(CC3=O)(C)C)N=C2NN1)C4=CC=CC=C4	FFFWFAUFYUNHEL-MRXNPFEDSA-N
134	Amuvatinib	Amuvatinib	C1CN(CCN1C2=NC=NC3=C2OC4=CC=CC=C43)C(=S)NCC5=CC6=C(C=C5)OCO6	FOFDIMHVKGYHRU-UHFFFAOYSA-N
135	9-(3,5-dimethoxyphenyl)-1-[4-(1-piperazinyl)-3-(trifluoromethyl)phenyl]-2-benzo[h][1,6]naphthyridinone	9-(3,5-dimethoxyphenyl)-1-[4-(1-piperazinyl)-3-(trifluoromethyl)phenyl]-2-benzo[h][1,6]naphthyridinone	COC1=CC(=CC(=C1)C2=CC3=C4C(=CN=C3C=C2)C=CC(=O)N4C5=CC(=C(C=C5)N6CCNCC6)C(F)(F)F)OC	VVTHOUCIAGHQBD-UHFFFAOYSA-N
136	GSK 650394	GSK650394	C1CCC(C1)C2=C(C=CC(=C2)C3=CNC4=NC=C(C=C34)C5=CC=CC=C5)C(=O)O	WVSBGSNVCDAMCF-UHFFFAOYSA-N
137	CI 976	CI 976	CCCCCCCCCCC(C)(C)C(=O)NC1=C(C=C(C=C1OC)OC)OC	WAFNZAURAWBNDZ-UHFFFAOYSA-N
138	BRD-A15100685-001-01-8	BRD-A15100685-001-01-8	CC1[C@@H]([C@H]([C@@H]([C@@H](O1)OCC2[C@H]([C@H]([C@@H]([C@@H](O2)O[C@H]3CC[C@]4(C(C3(C)C)CC[C@@]5(C4CC=C6[C@]5(C[C@H]([C@@]7(C6CC([C@H](C7)OC(=O)/C(=C/CC[C@@](C)(C=C)O[C@H]8[C@H]([C@@H]([C@@H](C(O8)C)OC(=O)/C(=C/CCC(C)(C=C)O)/CO)O)O)/CO)(C)C)C(=O)O[C@H]9[C@H]([C@@H]([C@@H](C(O9)CO)O)O)O[C@H]1[C@H]([C@@H]([C@H](C(O1)C)O[C@H]1[C@H]([C@H]([C@@H](O1)CO)O)O)O[C@H]1[C@H]([C@@H]([C@@H](C(O1)CO)O)O)O)O)O)C)C)C)NC(=O)C)O)O)O[C@H]1[C@H]([C@@H]([C@@H](CO1)O)O)O)O)O	HKEDBKXRDHFCFB-OIUXLAMQSA-N
139	thalidomide	thalidomide	C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O	UEJJHQNACJXSKW-UHFFFAOYSA-N
140	Neopeltolide	Neopeltolide	CCC[C@H]1C[C@H](C[C@@H](C[C@@H]2C[C@H](C[C@@H](O2)CC(=O)O1)OC(=O)/C=C\CCC3=COC(=N3)/C=C\CNC(=O)OC)C)OC	YRSJLYCTJWNTMF-KXXBBFITSA-N
141	(2R,3S)-2-[[(3,4-dichlorophenyl)methyl-methylamino]methyl]-8-(dimethylamino)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-3,4-dihydro-2H-1,5-benzoxazocin-6-one	(2R,3S)-2-[[(3,4-dichlorophenyl)methyl-methylamino]methyl]-8-(dimethylamino)-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-3,4-dihydro-2H-1,5-benzoxazocin-6-one	C[C@H]1CN(C(=O)C2=C(C=CC(=C2)N(C)C)O[C@H]1CN(C)CC3=CC(=C(C=C3)Cl)Cl)[C@H](C)CO	QSGCCBXTIZPHMD-SRGWNRLKSA-N
142	ifosfamide	ifosfamide	C1CN(P(=O)(OC1)NCCCl)CCCl	HOMGKSMUEGBAAB-UHFFFAOYSA-N
143	GSK1070916	GSK1070916	CCN1C=C(C(=N1)C2=CC=C(C=C2)NC(=O)N(C)C)C3=C4C=C(NC4=NC=C3)C5=CC(=CC=C5)CN(C)C	QTBWCSQGBMPECM-UHFFFAOYSA-N
144	Z-LLNle-CHO	Z-LLNle-CHO	CCCCC(C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)OCC1=CC=CC=C1	RNPDUXVFGTULLP-ATTQYFOMSA-N
145	NA	NA	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C.COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC	KFINBNKGTPHFOA-XVYLPRMCSA-N
146	957054-30-7	Pictilisib	CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6	LHNIIDJUOCFXAP-UHFFFAOYSA-N
147	NA	NA	CC(C)N1CCC(CC1)NC2=NC(=NC3=CC(=C(C=C32)OC)OCCCN4CCCC4)C5CCCCC5.CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO	ATGXROISGFVKEC-UHFFFAOYSA-N
148	NA	NA	C1CC(C1)(C(=O)O)C(=O)O.C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO.[Pt]	SKLRBXCMHQQLHT-UHFFFAOYSA-N
149	niclosamide	niclosamide	C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O	RJMUSRYZPJIFPJ-UHFFFAOYSA-N
150	CHM-1	CHM-1	C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CC=C4F	ZMYDAPJHGNEFGQ-UHFFFAOYSA-N
151	NA	NA	C[C@H]([C@@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)N[C@]1(CCC/C=C\CCC[C@@](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC1=O)CCCNC(=N)N)CC(=O)N)CC2=CN=CN2)(C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C)O.CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C	OQSANYMUKNCOEL-FQYHAYLZSA-N
152	Telomerase Inhibitor IX	Telomerase_Inhibitor_IX	C1=CC(=CC(=C1)NC(=O)C2=C(C(=CC=C2)O)O)NC(=O)C3=C(C(=CC=C3)O)O	MIQUEZGHEJGPJB-UHFFFAOYSA-N
153	EMBELIN	Embelin	CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O	IRSFLDGTOHBADP-UHFFFAOYSA-N
154	WZ4002	WZ4002	CN1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)OC4=CC=CC(=C4)NC(=O)C=C)Cl)OC	ITTRLTNMFYIYPA-UHFFFAOYSA-N
155	832115-62-5	832115-62-5	C1CC1NC(=O)C2=NOC(=C2)C3=CC=CS3	SYENTKHGMVKGAQ-UHFFFAOYSA-N
156	CHEMBL3182697	CHEMBL3182697	CN1CCN(CC1)CCCOC2=CC3=NC(=CC(=C3C=C2OC)NC4=CC(=C(C=C4Cl)Cl)OC)C#N	ALUXPRDJABOEAG-UHFFFAOYSA-N
157	59662-49-6	59662-49-6	CCCCCCCCC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)O	HXBKPYIEQLLNBK-UHFFFAOYSA-N
158	PI-103	PI-103	C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O	TUVCWJQQGGETHL-UHFFFAOYSA-N
159	Cabozantinib	cabozantinib	COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F	ONIQOQHATWINJY-UHFFFAOYSA-N
160	AICA ribonucleotide	AICA_Ribonucleotide	C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)N)C(=O)N	NOTGFIUVDGNKRI-UUOKFMHZSA-N
161	RSL3	RSL3	COC(=O)[C@H]1CC2=C([C@@H](N1C(=O)CCl)C3=CC=C(C=C3)C(=O)OC)NC4=CC=CC=C24	TXJZRSRTYPUYRW-NQIIRXRSSA-N
162	TAK-715	TAK-715	CCC1=NC(=C(S1)C2=CC(=NC=C2)NC(=O)C3=CC=CC=C3)C4=CC(=CC=C4)C	HEKAIDKUDLCBRU-UHFFFAOYSA-N
163	IKK-3 Inhibitor	IKK-3 Inhibitor	COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C#N)OCC4=CC=CC=C4S(=O)(=O)C)OC	LDTAHRLHGHFHKP-UHFFFAOYSA-N
164	SCHEMBL12474870	SCHEMBL12474870	C[C@@H]1CN(C(=O)C2=C(C(=CC=C2)NC(=O)C3=CC=NC=C3)O[C@H]1CN(C)CC4=CC=C(C=C4)OC5=CC=CC=C5)C(C)C	XDKJWJXCXRUBMR-GOXGLGGOSA-N
165	NA	NA	CC[C@@H](C(=O)N1C[C@H](C[C@H]1CC2=CC(=CC3=C2C=C(N3)C4=C(C5=C(N4)C=C(C=C5)F)C[C@@H]6C[C@@H](CN6C(=O)[C@H](CC)NC(=O)[C@H](C)NC)O)F)O)NC(=O)[C@H](C)NC	OTKWUBXKTHWZKE-FUOPVMCBSA-N
166	Pevonedistat	Pevonedistat	C1CC2=CC=CC=C2[C@H]1NC3=NC=NC4=C3C=CN4[C@@H]5C[C@H]([C@H](C5)O)COS(=O)(=O)N	MPUQHZXIXSTTDU-QXGSTGNESA-N
167	cyclosporin A	cyclosporin A	CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)N[C@@H](C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C	PMATZTZNYRCHOR-NFOUMSERSA-N
168	MLS001198989	MLS001198989	CN(C)CCNC(=O)C1=CC2=C(S1)C3=C(C=C(C=C3)Cl)SC2	ITESNYBWKVFAEV-UHFFFAOYSA-N
169	N-[2-methyl-5-[oxo-[3-(1-oxoprop-2-enylamino)-5-(trifluoromethyl)anilino]methyl]phenyl]-5-isoxazolecarboxamide	N-[2-methyl-5-[oxo-[3-(1-oxoprop-2-enylamino)-5-(trifluoromethyl)anilino]methyl]phenyl]-5-isoxazolecarboxamide	CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)NC(=O)C=C)NC(=O)C3=CC=NO3	UASQUKUDXJFTCO-UHFFFAOYSA-N
170	2-(dimethylamino)-N-[(2R,3R,6S)-6-[2-[[(4-fluoroanilino)-oxomethyl]amino]ethyl]-2-(hydroxymethyl)-3-oxanyl]acetamide	2-(dimethylamino)-N-[(2R,3R,6S)-6-[2-[[(4-fluoroanilino)-oxomethyl]amino]ethyl]-2-(hydroxymethyl)-3-oxanyl]acetamide	CN(C)CC(=O)N[C@@H]1CC[C@H](O[C@H]1CO)CCNC(=O)NC2=CC=C(C=C2)F	HVYAXUQBEQKNPC-BBWFWOEESA-N
171	ZSTK474	ZSTK474	C1COCCN1C2=NC(=NC(=N2)N3C4=CC=CC=C4N=C3C(F)F)N5CCOCC5	HGVNLRPZOWWDKD-UHFFFAOYSA-N
172	GW2580	GW-2580	COC1=CC=C(C=C1)COC2=C(C=C(C=C2)CC3=CN=C(N=C3N)N)OC	MYQAUKPBNJWPIE-UHFFFAOYSA-N
173	BRD4770	BRD4770	COC(=O)C1=CC2=C(C=C1)N(C(=N2)NC(=O)C3=CC=CC=C3)CCCC4=CC=CC=C4	UCGWYCMPZXDHNR-UHFFFAOYSA-N
174	356559-20-1	SB525334	CC1=CC=CC(=N1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=NC=CN=C4C=C3	DKPQHFZUICCZHF-UHFFFAOYSA-N
175	NA	NA	CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)C4=CC=C(C=C4)Cl)F.C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N	KUPOLXOGIZBOED-MBBUEALLSA-N
176	prochlorperazine	prochlorperazine	CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl	WIKYUJGCLQQFNW-UHFFFAOYSA-N
177	49843-98-3	Selisistat	C1CC(C2=C(C1)C3=C(N2)C=CC(=C3)Cl)C(=O)N	FUZYTVDVLBBXDL-UHFFFAOYSA-N
178	OSI-027	OSI-027	COC1=CC=CC2=CC(=C3C4=C(N=CNN4C(=N3)C5CCC(CC5)C(=O)O)N)N=C21	CDNMDRUIGNHEMR-UHFFFAOYSA-N
179	SCHEMBL18426910	SCHEMBL18426910	COC1=CC=C(C=C1)/C=C/C(=O)C2=C(C3=CC=CC=C3NC2=O)C4=CC=CC=C4	YIJGNIIQDRGGFT-DTQAZKPQSA-N
180	Bosutinib	bosutinib	CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC	UBPYILGKFZZVDX-UHFFFAOYSA-N
181	LSM-36779	LSM-36779	CC(=O)CCCCC[C@@H](C(=O)NC1CCCCN1C)C(=O)NC2=NC(=CS2)C3=CC=CC=C3	IRRONVDGWKKBLQ-AIBWNMTMSA-N
182	1170689-68-5	1170689-68-5	C1=CC2=NC(=CN2C=C1)C3=CC(=CC=C3)NC(=O)C4=CC5=C(C(=CC=C5)O)OC4=O	FCODPGUEFHCCIA-UHFFFAOYSA-N
183	Tipifarnib	Tipifarnib	CN1C=NC=C1[C@@](C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N	PLHJCIYEEKOWNM-HHHXNRCGSA-N
184	N-[(2S,3S)-2-[(dimethylamino)methyl]-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-10-yl]-2,5-dimethyl-3-pyrazolecarboxamide	N-[(2S,3S)-2-[(dimethylamino)methyl]-5-[(2R)-1-hydroxypropan-2-yl]-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-10-yl]-2,5-dimethyl-3-pyrazolecarboxamide	C[C@H]1CN(C(=O)C2=C(C(=CC=C2)NC(=O)C3=CC(=NN3C)C)O[C@@H]1CN(C)C)[C@H](C)CO	ADWJBSWPWOPVMW-YYFZDKIDSA-N
185	CHEMBL520231	CHEMBL520231	CCOC(=O)/C=C\N1N=C(N=N1)C2=CC(=CC=C2)Cl	AICKZRPQDLFSPA-SREVYHEPSA-N
186	vinorelbine	vinorelbine	CCC1=C[C@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC	GBABOYUKABKIAF-IELIFDKJSA-N
187	BRD-K62801835-001-01-0	BRD-K62801835-001-01-0	C[C@H]1CN(S(=O)(=O)C2=C(C=C(C=C2)C#CCC3CCCC3)O[C@@H]1CN(C)CC4=CC=C(C=C4)C(=O)O)[C@@H](C)CO	QHQRMZKVLZYZJK-SBZVUBOMSA-N
188	937174-76-0	GSK690693	CCN1C2=C(C(=NC=C2OC[C@H]3CCCNC3)C#CC(C)(C)O)N=C1C4=NON=C4N	KGPGFQWBCSZGEL-ZDUSSCGKSA-N
189	MGCD-265	MGCD-265	CN1C=C(N=C1)C2=CC3=NC=CC(=C3S2)OC4=C(C=C(C=C4)NC(=S)NC(=O)CC5=CC=CC=C5)F	UFICVEHDQUKCEA-UHFFFAOYSA-N
190	AR-42	AR-42	CC(C)[C@@H](C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)NO	LAMIXXKAWNLXOC-INIZCTEOSA-N
